communication_round,dataset,example_count,input_event_count,measured,model,padded_time_bins,predicted,residual,scientific_seed,selected_position,setting
18,shd,355,2918940,1.453490987,event_structure,38298,1.3953620157876712,-0.05812897121232874,27,3,joint
18,shd,224,1835566,0.9212615,event_structure,23520,0.8970904581303287,-0.024171041869671228,27,4,joint
18,shd,384,3096790,1.44446195,event_structure,39488,1.3626269614088757,-0.08183498859112426,27,5,joint
18,shd,462,3935332,1.724972455,event_structure,47382,1.640824856465204,-0.08414759853479614,27,6,joint
18,shd,363,2801406,1.387283503,event_structure,36434,1.3544949893469873,-0.03278851365301261,27,7,joint
18,shd,465,3536620,1.73803311,event_structure,47894,1.6383671943519502,-0.09966591564804972,27,8,joint
18,shd,255,1923656,1.062170289,event_structure,27469,1.0649577131764874,0.002787424176487363,27,9,joint
19,shd,224,1835566,0.914552506,event_structure,23552,0.8969194747385076,-0.017633031261492405,27,0,joint
19,shd,321,2612269,1.30592037,event_structure,33246,1.2533193256638473,-0.05260104433615265,27,1,joint
19,shd,476,3422977,1.770148653,event_structure,49540,1.6620717853143017,-0.10807686768569824,27,2,joint
19,shd,565,4653617,2.111933925,event_structure,60300,1.9977015539420817,-0.1142323710579185,27,3,joint
19,shd,342,2529508,1.360013896,event_structure,36050,1.2501006068341134,-0.10991328916588672,27,4,joint
19,shd,400,3075822,1.55877974,event_structure,42448,1.4611688302945733,-0.09761090970542674,27,5,joint
19,shd,322,2407095,1.341950027,event_structure,34060,1.2577585495685106,-0.08419147743148936,27,6,joint
19,shd,462,3935332,1.740386944,event_structure,48056,1.6530558314609705,-0.08733111253902948,27,7,joint
19,shd,411,3262375,1.49661872,event_structure,41612,1.4292391586165305,-0.06737956138346957,27,8,joint
19,shd,255,1923656,1.05138244,event_structure,27245,1.064871772992749,0.013489332992749015,27,9,joint
20,shd,384,3096790,1.489945467,event_structure,40704,1.3801605079635397,-0.10978495903646035,27,0,joint
20,shd,400,3075822,1.526220942,event_structure,41376,1.4442554443569016,-0.08196549764309835,27,1,joint
20,shd,476,3422977,1.787917786,event_structure,50104,1.673449012646067,-0.1144687733539329,27,2,joint
20,shd,465,3536620,1.730821325,event_structure,47540,1.6318402924431261,-0.09898103255687385,27,3,joint
20,shd,224,1835566,0.912691848,event_structure,23296,0.8984026331356567,-0.014289214864343314,27,4,joint
20,shd,565,4653617,2.117912911,event_structure,59934,1.9891230649378802,-0.12878984606211974,27,5,joint
20,shd,303,2395541,1.179600988,event_structure,30498,1.1352977802664803,-0.0443032077335197,27,6,joint
20,shd,255,1923656,1.039071143,event_structure,27291,1.0648770873140165,0.025805944314016616,27,7,joint
20,shd,293,2335184,1.218077946,event_structure,29664,1.0911606630251933,-0.12691728297480664,27,8,joint
20,shd,355,2918940,1.469720882,event_structure,37692,1.3880428617105567,-0.08167802028944338,27,9,joint
21,shd,224,1835566,0.902924685,event_structure,23072,0.8999207653479164,-0.0030039196520835754,27,0,joint
21,shd,384,3096790,1.449532105,event_structure,39712,1.3657053284898844,-0.08382677651011572,27,1,joint
21,shd,476,3422977,1.791260812,event_structure,50120,1.673775718655702,-0.11748509334429791,27,2,joint
21,shd,321,2612269,1.330497279,event_structure,33364,1.2542615212657733,-0.07623575773422675,27,3,joint
21,shd,255,1923656,1.064644884,event_structure,27831,1.0654099465488427,0.0007650625488426765,27,4,joint
21,shd,355,2945691,1.469331708,event_structure,37889,1.3570320511980603,-0.11229965680193965,27,5,joint
21,shd,411,3262375,1.52402432,event_structure,42006,1.4352542933895718,-0.08877002661042832,27,6,joint
21,shd,363,2801406,1.39265599,event_structure,36135,1.3515775845895437,-0.041078405410456265,27,7,joint
21,shd,334,2671322,1.316122318,event_structure,33750,1.2231726171120387,-0.09294970088796117,27,8,joint
21,shd,355,2918940,1.457507215,event_structure,37444,1.3852139482748287,-0.07229326672517122,27,9,joint
22,shd,293,2335184,1.215718001,event_structure,29807,1.0919529039710572,-0.12376509702894278,27,0,joint
22,shd,363,2801406,1.397475334,event_structure,36246,1.3526423627025226,-0.04483297129747732,27,1,joint
22,shd,400,3075822,1.544257897,event_structure,41952,1.4531681031474326,-0.09108979385256744,27,2,joint
22,shd,465,3536620,1.748529041,event_structure,48552,1.6508153386165514,-0.09771370238344868,27,3,joint
22,shd,384,3096790,1.396288193,event_structure,39040,1.3566842294361727,-0.03960396356382723,27,4,joint
22,shd,411,3262375,1.492539101,event_structure,41330,1.4250548802646898,-0.06748422073531013,27,5,joint
22,shd,255,1923656,1.053005347,event_structure,27670,1.0651617477345052,0.01215640073450519,27,6,joint
22,shd,326,2486328,1.316784894,event_structure,33576,1.2186912453079817,-0.09809364869201831,27,7,joint
22,shd,321,2612269,1.266568465,event_structure,32839,1.2502875847117192,-0.016280880288280786,27,8,joint
22,shd,224,1835566,0.919327886,event_structure,22944,0.9008830614891341,-0.01844482451086593,27,9,joint
23,shd,321,2612269,1.297516416,event_structure,33516,1.2555162285514143,-0.04200018744858558,27,0,joint
23,shd,293,2335184,1.160841392,event_structure,29741,1.0915811107075903,-0.06926028129240969,27,1,joint
23,shd,384,2739089,1.445400521,event_structure,40704,1.3882453326883066,-0.05715518831169342,27,2,joint
23,shd,465,3536620,1.753038695,event_structure,47694,1.6346647897906657,-0.11837390520933444,27,3,joint
23,shd,334,2671322,1.310459697,event_structure,34344,1.2289796433205558,-0.08148005367944422,27,4,joint
23,shd,384,3096790,1.447847472,event_structure,40128,1.3716064182840224,-0.07624105371597767,27,5,joint
23,shd,363,2801406,1.353157839,event_structure,36008,1.3503861036389093,-0.002771735361090766,27,6,joint
23,shd,224,1835566,0.923662761,event_structure,23296,0.8984026331356567,-0.025260127864343285,27,7,joint
23,shd,342,2529508,1.310029512,event_structure,35578,1.2444361514730344,-0.06559336052696563,27,8,joint
23,shd,411,3262375,1.490471598,event_structure,41996,1.4350992268683331,-0.05537237113166693,27,9,joint
24,shd,255,1923656,1.055397741,event_structure,27574,1.065049500911277,0.009651759911277091,27,0,joint
24,shd,303,2395541,1.146089554,event_structure,29646,1.13148938332251,-0.014600170677490087,27,1,joint
24,shd,411,3262375,1.499682008,event_structure,41300,1.4246157854309125,-0.07506622256908746,27,2,joint
24,shd,363,2801406,1.383267401,event_structure,35937,1.3497325618752738,-0.0335348391247261,27,3,joint
24,shd,293,2335184,1.19876481,event_structure,30168,1.094169734544618,-0.10459507545538194,27,4,joint
24,shd,565,4653617,2.127725939,event_structure,60221,1.9958431150955516,-0.13188282390444828,27,5,joint
24,shd,326,2486328,1.324792601,event_structure,33816,1.221035364937114,-0.103757236062886,27,6,joint
24,shd,355,2918940,1.489860829,event_structure,38485,1.3977339129464452,-0.09212691605355472,27,7,joint
24,shd,321,2612269,1.245130996,event_structure,32425,1.247560574813681,0.0024295788136809993,27,8,joint
24,shd,355,2945691,1.46260351,event_structure,38362,1.3634705643554952,-0.09913294564450492,27,9,joint
25,shd,255,1923656,1.04343082,event_structure,27345,1.0648914971177579,0.021460677117757898,27,0,joint
25,shd,400,3075822,1.60486433,event_structure,42816,1.4672932020977605,-0.13757112790223958,27,1,joint
25,shd,462,3935332,1.71245447,event_structure,47378,1.6407536054996674,-0.07170086450033253,27,2,joint
25,shd,363,2801406,1.391515435,event_structure,36713,1.357356653282893,-0.03415878171710718,27,3,joint
25,shd,384,2739089,1.453816194,event_structure,39936,1.3769345342287966,-0.07688165977120343,27,4,joint
