communication_round,dataset,measured_process_load_seconds,predicted_process_load_seconds,process_index,scientific_seed
5,shd,3.582856397,3.5863571066334137,3,17
6,shd,3.998323266,3.936317873841176,0,17
6,shd,3.0591531840000004,3.016625354451449,1,17
6,shd,3.907455811,3.863512548898365,2,17
6,shd,3.045440318,3.0096409358777585,3,17
7,shd,3.297307235,3.244796936106243,0,17
7,shd,3.210304006,3.204281450809269,1,17
7,shd,4.082394181,4.041774480995163,2,17
7,shd,3.984471812,3.9492628056515766,3,17
8,shd,4.077727533,3.8191683544602544,0,17
8,shd,3.271899376,3.2129389699646707,1,17
8,shd,3.018799722,2.9688107716249066,2,17
8,shd,3.936908277,3.916382597213537,3,17
9,shd,2.8405005119999998,2.866325840324982,0,17
9,shd,3.616960839,3.472058340845714,1,17
9,shd,3.427663473,3.454182555174447,2,17
9,shd,3.019755449,2.9714261453275146,3,17
10,shd,2.9522179139999998,2.948615115069499,0,17
10,shd,2.930261946,2.9438463224779907,1,17
10,shd,3.579513832,3.560479979249352,2,17
10,shd,3.571809467,3.571128811287968,3,17
11,shd,2.952381432,2.9382597812476723,0,17
11,shd,2.920714871,2.9366037151678466,1,17
11,shd,3.905716842,3.779957968816852,2,17
11,shd,3.683740785,3.6617106621659614,3,17
12,shd,3.820645651,3.719600625170245,0,17
12,shd,2.916912893,2.9274267524278867,1,17
12,shd,2.990938468,2.9249995842279732,2,17
12,shd,3.709008351,3.7008462799206,3,17
13,shd,3.5017684680000003,3.5147247722453505,0,17
13,shd,2.9329483659999998,2.8824786938016844,1,17
13,shd,2.709560346,2.758811635869379,2,17
13,shd,3.626995906,3.5726552499846633,3,17
14,shd,3.159526942,3.033965931711591,0,17
14,shd,4.021900427,3.874425717251108,1,17
14,shd,2.879516518,2.878629575884906,2,17
14,shd,3.8519287870000003,3.831294678838506,3,17
15,shd,3.0216845450000003,2.945133770990232,0,17
15,shd,3.7869363,3.7998616343762137,1,17
15,shd,3.938975778,3.9088064580142854,2,17
15,shd,2.999930407,2.9505214001663633,3,17
16,shd,3.251102451,3.219853127881387,0,17
16,shd,3.1800769,3.2063108288151305,1,17
16,shd,4.036245065,4.007427650149296,2,17
16,shd,4.149925467,4.018510060689688,3,17
17,shd,2.5311454589999998,2.559064343156927,0,17
17,shd,2.48901111,2.448989170184565,1,17
17,shd,3.330816887,3.3162787112106207,2,17
17,shd,3.283763037,3.3097800092188345,3,17
18,shd,2.983701265,2.949709215544213,0,17
18,shd,3.595824949,3.5740140400405904,1,17
18,shd,2.730660287,2.7298299796406384,2,17
18,shd,3.5913597079999997,3.5805026446600428,3,17
19,shd,3.055232421,3.056295792553702,0,17
19,shd,3.140704071,3.2067770283435175,1,17
19,shd,3.964505685,3.929336303977702,2,17
19,shd,3.841023208,3.8432029094957736,3,17
20,shd,2.974624789,2.9429837979447093,0,17
20,shd,3.604593622,3.643596297574166,1,17
20,shd,2.918624776,2.8982839925056654,2,17
20,shd,3.598632161,3.5566649537912127,3,17
21,shd,3.800723985,3.7903123831006473,0,17
21,shd,3.816006188,3.799463276591715,1,17
21,shd,2.9893129910000003,2.9981425010215705,2,17
21,shd,3.002405294,2.98743584869763,3,17
22,shd,2.960043196,2.930338029686741,0,17
22,shd,3.468878912,3.478973265100782,1,17
22,shd,2.89800966,2.8941778619368863,2,17
22,shd,3.63729398,3.6107834666838334,3,17
23,shd,4.181037236,4.100601499654452,0,17
23,shd,3.258866952,3.2646540900919385,1,17
23,shd,3.2752630519999997,3.3246463436887366,2,17
23,shd,4.320443666,4.3184728533798795,3,17
24,shd,3.21709349,3.208653449312937,0,17
24,shd,3.251675471,3.250249883368756,1,17
24,shd,4.091897161,4.157661192791626,2,17
24,shd,4.019667029000001,4.021356849748817,3,17
25,shd,3.270531622,3.227057506283213,0,17
25,shd,3.333350585,3.2809057432790354,1,17
25,shd,3.871095102,3.820888985818322,2,17
25,shd,3.969786867,3.9269525432767924,3,17
26,shd,2.960031624,2.968397013599743,0,17
26,shd,2.8731002070000002,2.8961138721979225,1,17
26,shd,3.6570938780000004,3.7405869345198077,2,17
26,shd,3.676705632,3.697592843253802,3,17
27,shd,3.883855441,3.823310201662414,0,17
27,shd,2.948089131,2.975236346728111,1,17
27,shd,3.2485831149999997,3.2044839927417286,2,17
27,shd,3.863948991,3.9173429532450257,3,17
28,shd,3.217472794,3.2059506512038594,0,17
28,shd,3.7644465260000004,3.7898401241314197,1,17
28,shd,3.8278328,3.804199788677571,2,17
28,shd,3.004893602,3.0085334837461737,3,17
29,shd,2.954090972,2.9524371347685774,0,17
29,shd,3.642814309,3.564030218864895,1,17
29,shd,2.916839612,2.886056747672767,2,17
29,shd,3.616358252,3.6533942199790355,3,17
30,shd,2.956011983,2.9178726483569237,0,17
30,shd,2.622740584,2.625325888399362,1,17
30,shd,3.5413486990000003,3.534240703621112,2,17
30,shd,3.472358812,3.475909742611556,3,17
31,shd,2.903869216,2.927254936042462,0,17
31,shd,3.517988897,3.529110585415596,1,17
31,shd,2.691489981,2.6947226480825446,2,17
31,shd,3.748772978,3.6399354994581206,3,17
32,shd,2.946271827,2.9296131903577853,0,17
32,shd,3.499776988,3.527023744055067,1,17
32,shd,2.869890593,2.883690974730043,2,17
32,shd,3.6574098719999997,3.597328875079544,3,17
33,shd,2.943429431,2.929293821778537,0,17
33,shd,3.759528143,3.769748712187458,1,17
33,shd,2.935722345,2.917784752575753,2,17
33,shd,3.7856998539999998,3.82437053859139,3,17
34,shd,2.9980766919999997,2.951982032548785,0,17
34,shd,3.0181851020000003,2.9937670388098425,1,17
34,shd,3.823523581,3.7850105162042924,2,17
34,shd,3.7152503009999998,3.757460911916069,3,17
35,shd,3.3245905579999997,3.2259644133156744,0,17
35,shd,3.1658301499999997,3.1889750214671695,1,17
35,shd,3.9388458670000004,3.952183752054264,2,17
35,shd,4.189709292,4.141258553264558,3,17
36,shd,3.245325841,3.2668761051317006,0,17
36,shd,3.3326945639999996,3.2641520876342334,1,17
36,shd,4.022574643,4.03935022651059,2,17
36,shd,3.923419346,3.880460377844953,3,17
37,shd,3.104070688,3.0525750365097766,0,17
37,shd,3.951198193,3.953384739242109,1,17
37,shd,4.042047763,3.9670577289858224,2,17
37,shd,3.022759745,2.997448548550013,3,17
38,shd,2.9703412289999997,2.9405658061409214,0,17
38,shd,3.016253122,2.9930296264002223,1,17
38,shd,3.803741445,3.8053522954499153,2,17
38,shd,3.9115367279999997,3.883362728169759,3,17
39,shd,2.9069834070000002,2.920497245734258,0,17
39,shd,3.249371224,3.17728117903523,1,17
39,shd,3.824619869,3.785439427559308,2,17
39,shd,3.8059192800000003,3.78381825926052,3,17
40,shd,3.227320781,3.257593758538021,0,17
40,shd,3.292879198,3.254183346317296,1,17
40,shd,4.142479692,4.10340817752619,2,17
40,shd,4.079925691,4.1087744832559405,3,17
41,shd,4.085817402,3.9649715993546657,0,17
41,shd,3.250354365,3.271611577729483,1,17
41,shd,3.923052636,3.881461792506018,2,17
41,shd,3.1901736830000003,3.1654521597404193,3,17
42,shd,2.624901077,2.599058794102037,0,17
42,shd,3.506276105,3.43832772137202,1,17
