group_dimension,group_value,mean_absolute_error,mean_signed_error,median_absolute_error,median_absolute_percentage_error,median_signed_error,model,p90_absolute_error,p90_absolute_percentage_error,percentage_denominator_floor,r_squared,root_mean_squared_error,sample_count,setting,spearman_rank_correlation,target
by_communication_round_interval,81-100,0.05134840484994241,-0.05120625237033613,0.046117401845753525,0.03383492558185572,-0.046117401845753525,historical_spike,0.08542235396330396,0.05277767733851341,0.001,0.9551581715412888,0.05836577529792046,200,shd_within_dataset,0.9857271431785796,client_wall_time_seconds
without_history,all,0.09596757431469569,-0.09596757431469569,0.070827661409957,0.04738714911723384,-0.070827661409957,historical_spike,0.11414908036098553,0.08100544334713433,0.001,0.7717395970002109,0.1429969494980909,20,shd_within_dataset,0.9744360902255638,client_wall_time_seconds
with_history,all,0.0471173494358136,-0.04682326325876804,0.043677405802464375,0.03143450908985318,-0.043677405802464375,historical_spike,0.08021402207819256,0.05138757542914167,0.001,0.958418360769142,0.054916864693066364,980,shd_within_dataset,0.9862337955583127,client_wall_time_seconds
joint,all,0.10594495130960019,-0.10594495130960019,0.10136220527583084,0.07238014198153098,-0.10136220527583084,diagnostic_oracle,0.1555311162525146,0.09388055428521061,0.001,0.8229146066323489,0.1136006195438973,1000,shd_within_dataset,0.9830970110970113,client_wall_time_seconds
per_dataset,shd,0.10594495130960019,-0.10594495130960019,0.10136220527583084,0.07238014198153098,-0.10136220527583084,diagnostic_oracle,0.1555311162525146,0.09388055428521061,0.001,0.8229146066323489,0.1136006195438973,1000,shd_within_dataset,0.9830970110970113,client_wall_time_seconds
per_seed,27,0.10594495130960019,-0.10594495130960019,0.10136220527583084,0.07238014198153098,-0.10136220527583084,diagnostic_oracle,0.1555311162525146,0.09388055428521061,0.001,0.8229146066323489,0.1136006195438973,1000,shd_within_dataset,0.9830970110970113,client_wall_time_seconds
by_client_size_quartile,1,0.07505086630980497,-0.07505086630980497,0.07262997417682282,0.06607178513432899,-0.07262997417682282,diagnostic_oracle,0.10522784488642647,0.0891119050135487,0.001,0.6330856647832281,0.07835567675353083,243,shd_within_dataset,0.9561854678595859,client_wall_time_seconds
by_client_size_quartile,2,0.0924599044834465,-0.0924599044834465,0.09368663737475491,0.07119508015170511,-0.09368663737475491,diagnostic_oracle,0.11997987864766246,0.09093686483967012,0.001,-10.925893253753815,0.09531214231820269,187,shd_within_dataset,0.5418026198437197,client_wall_time_seconds
by_client_size_quartile,3,0.1081130250313058,-0.1081130250313058,0.10521660817457346,0.07182692548022256,-0.10521660817457346,diagnostic_oracle,0.14299808168733974,0.09350835955216565,0.001,-2.0421055038146165,0.1138386487919042,318,shd_within_dataset,0.8523080149543272,client_wall_time_seconds
by_client_size_quartile,4,0.14300653451570577,-0.14300653451570577,0.14050059225927192,0.07985107624367122,-0.14050059225927192,diagnostic_oracle,0.18110768710264316,0.09945971631040615,0.001,0.4376392043650953,0.1489827106998769,252,shd_within_dataset,0.8328170472636088,client_wall_time_seconds
by_sequence_length_quartile,1,0.09033213177084123,-0.09033213177084123,0.08999539291050296,0.06983764705715682,-0.08999539291050296,diagnostic_oracle,0.11706272184854978,0.09238271197769961,0.001,-0.8412010486226595,0.09328972292432819,238,shd_within_dataset,0.8817868124952434,client_wall_time_seconds
by_sequence_length_quartile,2,0.12159588587158497,-0.12159588587158497,0.1210644040743194,0.07510427804347952,-0.1210644040743194,diagnostic_oracle,0.15874940262868886,0.09491349699055604,0.001,0.3525433770212838,0.12852590644053957,251,shd_within_dataset,0.9326609751470311,client_wall_time_seconds
by_sequence_length_quartile,3,0.11242902630996386,-0.11242902630996386,0.10664184349296191,0.07332351499610291,-0.10664184349296191,diagnostic_oracle,0.15976972604427356,0.09739491934922623,0.001,0.15757947843085074,0.11949552151264238,257,shd_within_dataset,0.8893022973034113,client_wall_time_seconds
by_sequence_length_quartile,4,0.0985475465854781,-0.0985475465854781,0.08388855969909942,0.07057484010428088,-0.08388855969909942,diagnostic_oracle,0.1693790391773689,0.0902996338883755,0.001,0.9340021633252009,0.10900043506612965,254,shd_within_dataset,0.971483650570184,client_wall_time_seconds
by_communication_round_interval,1-20,0.08931590861470026,-0.08931590861470026,0.08027263383859473,0.05871559043513653,-0.08027263383859473,diagnostic_oracle,0.13757457446410293,0.0821571366956713,0.001,0.8642327990177268,0.10239406892436473,200,shd_within_dataset,0.9799594989874748,client_wall_time_seconds
by_communication_round_interval,21-40,0.09821686573965994,-0.09821686573965994,0.09733241354991873,0.06891403303410981,-0.09733241354991873,diagnostic_oracle,0.1362088644181075,0.08803722907079452,0.001,0.8384198321560629,0.10299091730699116,200,shd_within_dataset,0.9875721893047328,client_wall_time_seconds
by_communication_round_interval,41-60,0.10735953831938748,-0.10735953831938748,0.10276959722768975,0.07239230740222125,-0.10276959722768975,diagnostic_oracle,0.15565054852545718,0.09190756387136939,0.001,0.8119892965160308,0.11221091030027834,200,shd_within_dataset,0.9866901672541816,client_wall_time_seconds
by_communication_round_interval,61-80,0.11913719843173907,-0.11913719843173907,0.11386734113884533,0.08252514277852463,-0.11386734113884533,diagnostic_oracle,0.1722421430665089,0.10086681986067171,0.001,0.7939227031749951,0.12632371769159417,200,shd_within_dataset,0.9866571664291608,client_wall_time_seconds
by_communication_round_interval,81-100,0.11569524544251422,-0.11569524544251422,0.11077606030214326,0.07804966493848917,-0.11077606030214326,diagnostic_oracle,0.16840013253471312,0.09644413217939461,0.001,0.8040652211837939,0.12200352192998681,200,shd_within_dataset,0.985380634515863,client_wall_time_seconds
without_history,all,0.09933907800327073,-0.09933907800327073,0.07210117869860222,0.05267592780066824,-0.07210117869860222,diagnostic_oracle,0.12860753417543744,0.08714228852796045,0.001,0.7650414300016847,0.14507986013872723,20,shd_within_dataset,0.9714285714285714,client_wall_time_seconds
with_history,all,0.1060797650505457,-0.1060797650505457,0.10178071830538105,0.07260732027950806,-0.10178071830538105,diagnostic_oracle,0.1557911397611523,0.09391174368044083,0.001,0.8243603339809625,0.11286680539286864,980,shd_within_dataset,0.9834933656719332,client_wall_time_seconds
joint,all,0.20157919858169554,-0.05669949810409555,0.12707947158813482,0.10006937790522796,-0.040345932006836005,constant,0.4226182380676271,0.3709451643913831,0.001,-0.046328833254250856,0.26945585799968297,1000,shd_within_dataset,0.0,cuda_event_time_seconds
per_dataset,shd,0.20157919858169554,-0.05669949810409555,0.12707947158813482,0.10006937790522796,-0.040345932006836005,constant,0.4226182380676271,0.3709451643913831,0.001,-0.046328833254250856,0.26945585799968297,1000,shd_within_dataset,0.0,cuda_event_time_seconds
per_seed,27,0.20157919858169554,-0.05669949810409555,0.12707947158813482,0.10006937790522796,-0.040345932006836005,constant,0.4226182380676271,0.3709451643913831,0.001,-0.046328833254250856,0.26945585799968297,1000,shd_within_dataset,0.0,cuda_event_time_seconds
by_client_size_quartile,1,0.24859779386167163,0.24859779386167163,0.2113613319396972,0.2125206796570828,0.2113613319396972,constant,0.44570711746215813,0.5863032275857042,0.001,-3.9007061105416154,0.2786473932051578,243,shd_within_dataset,0.0,cuda_event_time_seconds
by_client_size_quartile,2,0.06334035857093516,0.06294798289008309,0.06365728378295898,0.055729787053076824,0.06365728378295898,constant,0.09669997634887682,0.08717959418792114,0.001,-5.417942704959374,0.06851135104999127,187,shd_within_dataset,0.0,cuda_event_time_seconds
by_client_size_quartile,3,0.09309507590719746,-0.09169490984550821,0.08264905929565436,0.06414080754049747,-0.08264905929565436,constant,0.1850065406799318,0.13301088668792144,0.001,-2.069421217640523,0.11167321631962282,318,shd_within_dataset,0.0,cuda_event_time_seconds
by_client_size_quartile,4,0.39571846619863366,-0.39571846619863366,0.3649457015991211,0.23232344274883157,-0.3649457015991211,constant,0.7259798637390137,0.37578815125020126,0.001,-4.182931462374352,0.4404875882597576,252,shd_within_dataset,0.0,cuda_event_time_seconds
by_sequence_length_quartile,1,0.11150279239045462,0.1111944972126423,0.08355580139160146,0.07444717220446145,0.08355580139160146,constant,0.20505271377563467,0.20487793308470764,0.001,-2.7118940622377576,0.13009024206466313,238,shd_within_dataset,0.0,cuda_event_time_seconds
by_sequence_length_quartile,2,0.23045518905518067,-0.20985067990671602,0.1998174552917482,0.142145625489933,-0.1998174552917482,constant,0.3791092033386232,0.23918330657238754,0.001,-1.8480127487000582,0.2605126782129189,251,shd_within_dataset,0.0,cuda_event_time_seconds
by_sequence_length_quartile,3,0.12265206367403625,-0.12091956247708223,0.07656075668334972,0.05969803878803496,-0.07656075668334972,constant,0.36785379409790053,0.23374198175337232,0.001,-0.903508178846248,0.17551243703660072,257,shd_within_dataset,0.0,cuda_event_time_seconds
by_sequence_length_quartile,4,0.3373059101405106,0.0023033849310686314,0.3154805145263671,0.3543037236067066,0.09027794265747058,constant,0.7258915489196778,0.5857890252732233,0.001,-3.089027502212183e-05,0.4144406455359842,254,shd_within_dataset,0.0,cuda_event_time_seconds
