communication_round,dataset,example_count,input_event_count,measured,model,padded_time_bins,predicted,residual,scientific_seed,selected_position,setting
14,shd,355,2918940,236.53434433194525,event_structure,38682,226.92316153087825,-9.611182801067002,27,0,joint
14,shd,565,4653617,341.61419672385875,event_structure,60415,324.23608211246744,-17.37811461139131,27,1,joint
14,shd,400,3075822,254.3064437728005,event_structure,42128,235.89131717126668,-18.415126601533814,27,2,joint
14,shd,342,2529508,212.4360523152435,event_structure,35562,201.50702440009138,-10.929027915152119,27,3,joint
14,shd,355,2945691,238.50785747605528,event_structure,39100,222.67740437625582,-15.830453099799456,27,4,joint
14,shd,384,2739089,238.51288325618117,event_structure,41152,225.96355614016022,-12.549327116020947,27,5,joint
14,shd,224,1835566,146.96984534537503,event_structure,23392,145.15125078969606,-1.8185945556789704,27,6,joint
14,shd,462,3935332,297.7827362345405,event_structure,48112,268.09569656853034,-29.68703966601015,27,7,joint
14,shd,322,2407095,208.5608216863821,event_structure,32668,201.74071160204505,-6.8201100843370455,27,8,joint
14,shd,465,3536620,280.1775623345798,event_structure,48056,266.00692304241045,-14.17063929216937,27,9,joint
15,shd,293,2335184,192.0779656895192,event_structure,29799,176.83754499234772,-15.240420697171487,27,0,joint
15,shd,363,2801406,226.81344298512988,event_structure,36489,219.48878640046735,-7.324656584662534,27,1,joint
15,shd,355,2945691,242.250901428026,event_structure,39479,223.61047825997287,-18.640423168053132,27,2,joint
15,shd,321,2612269,216.91300326487016,event_structure,33322,203.13541153096264,-13.777591733907514,27,3,joint
15,shd,476,3422977,279.2943053406591,event_structure,49284,268.462673869701,-10.831631470958087,27,4,joint
15,shd,355,2918940,235.36764558710138,event_structure,38907,227.40783329728345,-7.959812289817933,27,5,joint
15,shd,342,2529508,220.86579913990127,event_structure,36270,202.9084458919864,-17.95735324791488,27,6,joint
15,shd,384,3096790,230.24753606429906,event_structure,39232,220.11357019900595,-10.133965865293106,27,7,joint
15,shd,224,1835566,152.82417801993748,event_structure,23936,144.77519033998203,-8.048987679955445,27,8,joint
15,shd,255,1923656,172.42731153704196,event_structure,27414,172.2518791729625,-0.17543236407945528,27,9,joint
16,shd,303,2395541,190.24679691735795,event_structure,30997,184.29753530054097,-5.949261616816983,27,0,joint
16,shd,384,2739089,236.90214688110774,event_structure,40288,223.83505463036965,-13.067092250738085,27,1,joint
16,shd,462,3935332,288.0459942737747,event_structure,48254,268.5200966087706,-19.525897665004095,27,2,joint
16,shd,255,1923656,171.66556636079392,event_structure,27408,172.25094931578553,0.5853829549916156,27,3,joint
16,shd,334,2671322,208.11013962412724,event_structure,33278,197.3924590609289,-10.717680563198343,27,4,joint
16,shd,465,3536620,281.1243721883071,event_structure,47802,265.24595816074714,-15.878414027559984,27,5,joint
16,shd,224,1835566,150.67214258290772,event_structure,23424,145.1240409945043,-5.548101588403426,27,6,joint
16,shd,384,3096790,236.4474556777774,event_structure,40896,223.98300653731087,-12.464449140466542,27,7,joint
16,shd,322,2407095,207.4143067815119,event_structure,32962,202.1159331378409,-5.298373643670999,27,8,joint
16,shd,355,2945691,235.07235960269705,event_structure,38942,222.29739907865053,-12.77496052404652,27,9,joint
17,shd,384,3096790,229.88645994247747,event_structure,40416,222.80694201294284,-7.0795179295346315,27,0,joint
17,shd,476,3422977,285.09685925338897,event_structure,49128,267.9709494352122,-17.12590981817675,27,1,joint
17,shd,303,2395541,193.95096031989354,event_structure,30689,183.97137393214746,-9.979586387746082,27,2,joint
17,shd,326,2486328,213.8277413652528,event_structure,33492,197.29542880934275,-16.53231255591004,27,3,joint
17,shd,411,3262375,249.5318297654222,event_structure,42722,234.33629465012189,-15.195535115300316,27,4,joint
17,shd,355,2945691,238.6892462154674,event_structure,39208,222.9402166071858,-15.749029608281603,27,5,joint
17,shd,465,3536620,274.3026973361533,event_structure,47457,264.2279878354576,-10.07470950069569,27,6,joint
17,shd,400,3075822,254.15314168968436,event_structure,43072,238.4172908581155,-15.735850831568854,27,7,joint
17,shd,321,2612269,205.2868200159919,event_structure,33250,203.04059912314017,-2.2462208928517384,27,8,joint
17,shd,565,4653617,347.08795181473545,event_structure,60935,326.2125878189494,-20.875363995786074,27,9,joint
18,shd,293,2335184,185.14631804514315,event_structure,28448,175.8970148603072,-9.249303184835952,27,0,joint
18,shd,355,2945691,239.3811954887331,event_structure,39252,223.04799542142553,-16.333200067307587,27,1,joint
18,shd,342,2529508,214.73059678059312,event_structure,35386,201.1788929115886,-13.551703869004513,27,2,joint
