absolute_error_seconds,dataset,model
0.25616494700000003,shd,constant
0.721289091,shd,constant
1.057088111,shd,constant
0.27832158399999996,shd,constant
0.651021667,shd,constant
0.54796694,shd,constant
0.705186841,shd,constant
0.11284046800000014,shd,constant
1.084940103,shd,constant
0.45747121699999993,shd,constant
0.6475804349999998,shd,constant
0.672388019,shd,constant
0.629629813,shd,constant
1.065819364,shd,constant
0.439282615,shd,constant
0.6572726259999999,shd,constant
0.544492684,shd,constant
0.20027402199999988,shd,constant
0.26747838,shd,constant
0.5636626069999999,shd,constant
0.8293785169999999,shd,constant
0.7214656319999999,shd,constant
0.49453390799999997,shd,constant
0.39237410500000003,shd,constant
0.45430674699999996,shd,constant
0.556310906,shd,constant
0.531257504,shd,constant
0.686112981,shd,constant
0.6962491289999999,shd,constant
0.5021281959999999,shd,constant
0.2596908819999999,shd,constant
0.811094878,shd,constant
0.6252209549999999,shd,constant
0.4913431669999999,shd,constant
0.507766688,shd,constant
0.801355137,shd,constant
0.4981043949999999,shd,constant
0.19499502700000004,shd,constant
0.926691758,shd,constant
0.401565427,shd,constant
0.695091057,shd,constant
0.517971652,shd,constant
0.09998333800000014,shd,constant
0.730507099,shd,constant
0.513117684,shd,constant
1.0571371429999998,shd,constant
0.6145458559999999,shd,constant
0.7093527419999999,shd,constant
0.7069948769999999,shd,constant
0.20295906499999994,shd,constant
0.45764134199999984,shd,constant
0.13106674400000018,shd,constant
0.5456772159999999,shd,constant
0.7906383099999998,shd,constant
0.43004543800000006,shd,constant
0.584058052,shd,constant
0.25816424699999985,shd,constant
0.5013042299999999,shd,constant
0.5410583789999999,shd,constant
0.927554904,shd,constant
0.500095266,shd,constant
0.504304224,shd,constant
0.5594256,shd,constant
0.08121110099999984,shd,constant
0.5840590129999998,shd,constant
0.58775803,shd,constant
0.653082369,shd,constant
0.506771624,shd,constant
0.3761735049999999,shd,constant
0.5432747759999998,shd,constant
0.8186739139999999,shd,constant
0.673532069,shd,constant
0.798107065,shd,constant
0.231155467,shd,constant
1.0670186739999998,shd,constant
0.7018152529999999,shd,constant
0.923766353,shd,constant
0.08236457900000027,shd,constant
0.5912225899999999,shd,constant
0.691079438,shd,constant
0.23635099399999993,shd,constant
0.4721134519999999,shd,constant
0.23766968300000002,shd,constant
0.9513194739999999,shd,constant
0.8032157769999999,shd,constant
0.722602419,shd,constant
0.28233418099999996,shd,constant
0.7184794729999999,shd,constant
0.5554644440000001,shd,constant
0.8251878749999999,shd,constant
0.45209529299999995,shd,constant
1.069307772,shd,constant
0.705367106,shd,constant
0.27323064900000005,shd,constant
0.573068004,shd,constant
0.7191139559999999,shd,constant
0.668830322,shd,constant
0.14980467600000025,shd,constant
0.81752402,shd,constant
1.077120422,shd,constant
0.529849647,shd,constant
0.6996854779999999,shd,constant
0.7156459069999999,shd,constant
0.5747098849999999,shd,constant
0.9390784109999999,shd,constant
0.681369007,shd,constant
1.075500555,shd,constant
0.587135068,shd,constant
0.642709105,shd,constant
0.26182905600000006,shd,constant
0.81330799,shd,constant
0.677763779,shd,constant
0.505968762,shd,constant
0.711658991,shd,constant
0.519749561,shd,constant
0.46819674199999994,shd,constant
0.7673239059999999,shd,constant
0.2312683579999999,shd,constant
0.666291277,shd,constant
0.27540874000000004,shd,constant
0.499918662,shd,constant
